Field,Type,IOCCountry,AS_Owner,Continent,resolutions_last_resolved,resolutions_host,resolutions_ip_address,detected_url,detected_urls_positives,detected_urls_total,detected_urls_scan_date,detected_communicating_samples_sha256,detected_communicating_samples_positives,detected_communicating_samples_total,detected_communicating_samples_scan_date,asn,network,subdomains,categories,dns_records_type,dns_records_value,detected_referrer_samples_date,detected_referrer_samples_positives,detected_referrer_samples_total,detected_referrer_samples_sha256,detected_downloaded_samples_date,detected_downloaded_samples_positives,detected_downloaded_samples_total,detected_downloaded_samples_sha256,Engine,Engine_detected,Engine_result,hash_scan_version,hash_scan_result,hash_sha1,hash_sha256,hash_md5,hash_total,hash_positives,hash_scan_date
Domain,hecs.com,,,,2016-01-11 00:00:00,,107.180.51.79,http://hecs.com/MoYDbSrKucQ3DCV,3.0,79.0,2020-10-01 23:30:28,,,,,,,www.hecs.com,,,,2020-07-07 06:07:01,20.0,75.0,cc8cbb5347a716277d36e6e3cf88204c4a8eb599ec573f8b9e16127772794ea8,2019-08-29 03:56:45,1.0,71.0,90b2d35cd5e08370ed20db81197dd9da1a4dbb421f71293fd5733ea49eb7b3e1,,,,,,,,,,,
Domain,hecs.com,,,,2013-06-24 00:00:00,,173.201.98.128,http://hecs.com/,2.0,79.0,2020-09-27 22:21:16,,,,,,,,,,,2020-04-29 01:53:53,9.0,75.0,b518983267452b97c48184dd74d77f85ec3514cbe9c27b8de89c92e6694ec12c,2017-11-07 10:18:42,1.0,59.0,cdc8b52c9402b72ef9c698027c0d2ea63058ed98b832a31d3ac57c9e7f8b35ed,,,,,,,,,,,
Domain,hecs.com,,,,2018-08-24 20:50:36,,184.168.221.32,http://hecs.com/icc{44352f7aa482f7b0260b91cf4714c6a01ff19f5b148963c1a985ff7d43410575},4.0,79.0,2020-09-26 11:38:54,,,,,,,,,,,2020-03-23 14:17:00,1.0,75.0,9b9fc8a9b37f6f404a7c28115bea4551780873b05f156dc171920bf299484444,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2019-10-01 08:23:31,,184.168.221.33,http://hecs.com/icc{2e4df36402ff37271087a408c7a5395d3ce6e8a3160288706b7682d49fe410eb},3.0,79.0,2020-09-25 19:37:20,,,,,,,,,,,2020-01-20 18:44:52,3.0,75.0,088d08cf34bf7d415b8db2dee74fb48af055939fa2b16871687e6a2e4ed90016,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2018-07-29 15:45:58,,184.168.221.34,http://hecs.com/favicon.ico,4.0,79.0,2020-09-21 22:45:35,,,,,,,,,,,2018-04-02 07:26:32,2.0,70.0,164fd870778509786cb4a2c1044705c71a4e443b78712697c3b4c853cdd5e641,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2019-10-25 02:55:39,,184.168.221.35,https://hecs.com/,3.0,79.0,2020-09-14 12:00:26,,,,,,,,,,,2018-04-02 07:19:55,2.0,70.0,9591843b03cc15153f6eaaf25d05e9f830bf87295a0b175115fe2555984a9060,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2018-09-29 15:49:53,,184.168.221.36,http://hecs.com/index.html,4.0,66.0,2019-01-13 14:27:03,,,,,,,,,,,,5.0,59.0,22011584cecab50373147165ced7d5872aa9eacb8b9c5b7b2ee85d87bef2a127,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2020-01-22 09:25:45,,184.168.221.37,http://hecs.com/contact.php/js/cufon-replace.js,4.0,66.0,2018-12-29 18:10:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2018-11-11 22:41:20,,184.168.221.38,http://hecs.com/?reqp=1&reqr=  http://parked-content.godaddy.com/park/qKWjMv5jL,3.0,66.0,2018-12-11 17:54:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2018-08-12 19:55:09,,184.168.221.39,http://hecs.com/XXnKZ/,3.0,66.0,2018-12-11 17:50:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2020-05-20 09:00:59,,184.168.221.40,http://hecs.com/index_demo-4.html,3.0,67.0,2018-08-11 18:29:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2018-08-21 22:05:32,,184.168.221.41,http://hecs.com/js/cufon-yui.js,4.0,67.0,2018-08-11 10:13:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2020-07-01 05:06:15,,184.168.221.43,http://hecs.com/index.php,5.0,65.0,2017-11-20 13:50:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2018-10-18 10:46:28,,184.168.221.44,http://hecs.com/product_aquatic.html,7.0,63.0,2015-07-15 05:58:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2019-11-25 02:10:56,,184.168.221.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2019-01-07 03:58:14,,184.168.221.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2018-12-29 18:10:38,,184.168.221.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2018-12-23 21:21:41,,184.168.221.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2019-02-17 21:22:27,,184.168.221.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2018-08-11 10:13:46,,184.168.221.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2018-04-29 00:00:00,,184.168.221.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2019-04-17 06:26:05,,184.168.221.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2019-06-17 18:53:38,,184.168.221.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2018-04-29 20:46:45,,184.168.221.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2018-06-03 23:43:10,,184.168.221.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2019-09-06 09:03:15,,184.168.221.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2019-03-11 19:24:22,,184.168.221.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2018-02-06 08:44:00,,184.168.221.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2018-12-11 17:39:18,,184.168.221.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2019-09-08 12:30:42,,184.168.221.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2019-01-27 21:26:14,,184.168.221.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2020-03-25 03:42:56,,184.168.221.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2020-07-09 05:40:08,,34.102.136.180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2019-09-04 22:56:49,,50.63.202.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2019-04-17 06:26:08,,50.63.202.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2020-02-27 01:03:13,,50.63.202.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2019-12-03 01:37:45,,50.63.202.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2018-12-13 15:46:54,,50.63.202.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2019-09-02 22:26:42,,50.63.202.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2018-10-08 08:19:22,,50.63.202.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2019-12-10 17:13:27,,50.63.202.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2019-09-05 09:32:50,,50.63.202.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2018-01-12 00:00:00,,50.63.202.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2019-11-05 12:10:28,,50.63.202.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2019-08-30 20:48:46,,50.63.202.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2018-12-09 22:16:37,,50.63.202.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2019-10-07 13:02:50,,50.63.202.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2019-08-09 10:05:29,,50.63.202.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2019-09-22 19:51:30,,50.63.202.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2019-09-04 08:04:18,,50.63.202.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2018-10-01 05:46:25,,50.63.202.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2018-06-29 09:32:49,,50.63.202.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2019-08-26 08:03:59,,50.63.202.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2018-03-03 00:00:00,,50.63.202.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2019-01-13 14:27:07,,50.63.202.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2019-09-09 08:04:16,,50.63.202.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2018-06-19 10:09:32,,50.63.202.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2018-02-25 00:00:00,,50.63.202.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2018-09-25 05:47:31,,50.63.202.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2019-10-26 21:23:47,,50.63.202.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2019-05-09 11:25:08,,50.63.202.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,2019-08-16 19:04:54,,50.63.202.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain,hecs.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hash,99017f6eebbac24f351415dd410d522d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Webroot,True,,1.0.0.403,Trojan:Win32/Comame,4d1740485713a2ab3a4f5822a01f645fe8387f92,52d3df0ed60c46f336c131bf2ca454f73bafdc4b04dfa2aea80746f5ba9e6d1c,99017f6eebbac24f351415dd410d522d,70.0,55.0,2020-10-22 19:31:49
Hash,99017f6eebbac24f351415dd410d522d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GData,True,,A:25.27455B:27.20612,Generic.Malware.Vow.7232B058,4d1740485713a2ab3a4f5822a01f645fe8387f92,52d3df0ed60c46f336c131bf2ca454f73bafdc4b04dfa2aea80746f5ba9e6d1c,99017f6eebbac24f351415dd410d522d,70.0,55.0,2020-10-22 19:31:49
Hash,99017f6eebbac24f351415dd410d522d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Panda,True,,4.6.4.2,Adware/AccesMembre,4d1740485713a2ab3a4f5822a01f645fe8387f92,52d3df0ed60c46f336c131bf2ca454f73bafdc4b04dfa2aea80746f5ba9e6d1c,99017f6eebbac24f351415dd410d522d,70.0,55.0,2020-10-22 19:31:49
Hash,99017f6eebbac24f351415dd410d522d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TrendMicro,True,,11.0.0.1006,TROJ_VB.JVJ,4d1740485713a2ab3a4f5822a01f645fe8387f92,52d3df0ed60c46f336c131bf2ca454f73bafdc4b04dfa2aea80746f5ba9e6d1c,99017f6eebbac24f351415dd410d522d,70.0,55.0,2020-10-22 19:31:49
Hash,99017f6eebbac24f351415dd410d522d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antiy-AVL,True,,3.0.0.1,Trojan/Win32.Hosts2,4d1740485713a2ab3a4f5822a01f645fe8387f92,52d3df0ed60c46f336c131bf2ca454f73bafdc4b04dfa2aea80746f5ba9e6d1c,99017f6eebbac24f351415dd410d522d,70.0,55.0,2020-10-22 19:31:49
Hash,99017f6eebbac24f351415dd410d522d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comodo,True,,32921,Suspicious@#3ti95s6395h1t,4d1740485713a2ab3a4f5822a01f645fe8387f92,52d3df0ed60c46f336c131bf2ca454f73bafdc4b04dfa2aea80746f5ba9e6d1c,99017f6eebbac24f351415dd410d522d,70.0,55.0,2020-10-22 19:31:49
Hash,99017f6eebbac24f351415dd410d522d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arcabit,True,,1.0.0.881,Generic.Malware.Vow.7232B058,4d1740485713a2ab3a4f5822a01f645fe8387f92,52d3df0ed60c46f336c131bf2ca454f73bafdc4b04dfa2aea80746f5ba9e6d1c,99017f6eebbac24f351415dd410d522d,70.0,55.0,2020-10-22 19:31:49
Hash,99017f6eebbac24f351415dd410d522d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cynet,True,,4.0.0.24,Malicious (score: 85),4d1740485713a2ab3a4f5822a01f645fe8387f92,52d3df0ed60c46f336c131bf2ca454f73bafdc4b04dfa2aea80746f5ba9e6d1c,99017f6eebbac24f351415dd410d522d,70.0,55.0,2020-10-22 19:31:49
Hash,99017f6eebbac24f351415dd410d522d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zillya,True,,2.0.0.4205,Trojan.VB.Win32.33493,4d1740485713a2ab3a4f5822a01f645fe8387f92,52d3df0ed60c46f336c131bf2ca454f73bafdc4b04dfa2aea80746f5ba9e6d1c,99017f6eebbac24f351415dd410d522d,70.0,55.0,2020-10-22 19:31:49
Hash,99017f6eebbac24f351415dd410d522d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NANO-Antivirus,True,,1.0.146.25233,Trojan.Win32.Hosts2.fldtyw,4d1740485713a2ab3a4f5822a01f645fe8387f92,52d3df0ed60c46f336c131bf2ca454f73bafdc4b04dfa2aea80746f5ba9e6d1c,99017f6eebbac24f351415dd410d522d,70.0,55.0,2020-10-22 19:31:49
Hash,99017f6eebbac24f351415dd410d522d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VBA32,True,,4.4.1,SScope.Trojan.VBRA.15773,4d1740485713a2ab3a4f5822a01f645fe8387f92,52d3df0ed60c46f336c131bf2ca454f73bafdc4b04dfa2aea80746f5ba9e6d1c,99017f6eebbac24f351415dd410d522d,70.0,55.0,2020-10-22 19:31:49
Hash,99017f6eebbac24f351415dd410d522d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elastic,True,,4.0.11,malicious (high confidence),4d1740485713a2ab3a4f5822a01f645fe8387f92,52d3df0ed60c46f336c131bf2ca454f73bafdc4b04dfa2aea80746f5ba9e6d1c,99017f6eebbac24f351415dd410d522d,70.0,55.0,2020-10-22 19:31:49
Hash,99017f6eebbac24f351415dd410d522d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAX,True,,2019.9.16.1,malware (ai score=100),4d1740485713a2ab3a4f5822a01f645fe8387f92,52d3df0ed60c46f336c131bf2ca454f73bafdc4b04dfa2aea80746f5ba9e6d1c,99017f6eebbac24f351415dd410d522d,70.0,55.0,2020-10-22 19:31:49
Hash,99017f6eebbac24f351415dd410d522d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALYac,True,,1.1.1.5,Generic.Malware.Vow.7232B058,4d1740485713a2ab3a4f5822a01f645fe8387f92,52d3df0ed60c46f336c131bf2ca454f73bafdc4b04dfa2aea80746f5ba9e6d1c,99017f6eebbac24f351415dd410d522d,70.0,55.0,2020-10-22 19:31:49
Hash,99017f6eebbac24f351415dd410d522d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESET-NOD32,True,,22195,a variant of Win32/Qhost.Banker.BP,4d1740485713a2ab3a4f5822a01f645fe8387f92,52d3df0ed60c46f336c131bf2ca454f73bafdc4b04dfa2aea80746f5ba9e6d1c,99017f6eebbac24f351415dd410d522d,70.0,55.0,2020-10-22 19:31:49
Hash,99017f6eebbac24f351415dd410d522d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alibaba,True,,0.3.0.5,Trojan:Win32/Hosts2.690bb821,4d1740485713a2ab3a4f5822a01f645fe8387f92,52d3df0ed60c46f336c131bf2ca454f73bafdc4b04dfa2aea80746f5ba9e6d1c,99017f6eebbac24f351415dd410d522d,70.0,55.0,2020-10-22 19:31:49
Hash,99017f6eebbac24f351415dd410d522d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APEX,True,,6.88,Malicious,4d1740485713a2ab3a4f5822a01f645fe8387f92,52d3df0ed60c46f336c131bf2ca454f73bafdc4b04dfa2aea80746f5ba9e6d1c,99017f6eebbac24f351415dd410d522d,70.0,55.0,2020-10-22 19:31:49
Hash,99017f6eebbac24f351415dd410d522d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ad-Aware,True,,3.0.16.117,Generic.Malware.Vow.7232B058,4d1740485713a2ab3a4f5822a01f645fe8387f92,52d3df0ed60c46f336c131bf2ca454f73bafdc4b04dfa2aea80746f5ba9e6d1c,99017f6eebbac24f351415dd410d522d,70.0,55.0,2020-10-22 19:31:49
Hash,99017f6eebbac24f351415dd410d522d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avira,True,,8.3.3.8,TR/VB.dyo,4d1740485713a2ab3a4f5822a01f645fe8387f92,52d3df0ed60c46f336c131bf2ca454f73bafdc4b04dfa2aea80746f5ba9e6d1c,99017f6eebbac24f351415dd410d522d,70.0,55.0,2020-10-22 19:31:49
Hash,99017f6eebbac24f351415dd410d522d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortinet,True,,6.2.142.0,W32/Vb.HT!tr,4d1740485713a2ab3a4f5822a01f645fe8387f92,52d3df0ed60c46f336c131bf2ca454f73bafdc4b04dfa2aea80746f5ba9e6d1c,99017f6eebbac24f351415dd410d522d,70.0,55.0,2020-10-22 19:31:49
Hash,99017f6eebbac24f351415dd410d522d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,McAfee-GW-Edition,True,,v2019.1.2+3728,RDN/Generic Qhost.e,4d1740485713a2ab3a4f5822a01f645fe8387f92,52d3df0ed60c46f336c131bf2ca454f73bafdc4b04dfa2aea80746f5ba9e6d1c,99017f6eebbac24f351415dd410d522d,70.0,55.0,2020-10-22 19:31:49
Hash,99017f6eebbac24f351415dd410d522d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VIPRE,True,,87632,Trojan.Win32.Generic!BT,4d1740485713a2ab3a4f5822a01f645fe8387f92,52d3df0ed60c46f336c131bf2ca454f73bafdc4b04dfa2aea80746f5ba9e6d1c,99017f6eebbac24f351415dd410d522d,70.0,55.0,2020-10-22 19:31:49
Hash,99017f6eebbac24f351415dd410d522d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BitDefenderTheta,True,,7.2.37796.0,AI:Packer.4D598F5F1F,4d1740485713a2ab3a4f5822a01f645fe8387f92,52d3df0ed60c46f336c131bf2ca454f73bafdc4b04dfa2aea80746f5ba9e6d1c,99017f6eebbac24f351415dd410d522d,70.0,55.0,2020-10-22 19:31:49
Hash,99017f6eebbac24f351415dd410d522d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F-Secure,True,,12.0.86.52,Trojan.TR/VB.dyo,4d1740485713a2ab3a4f5822a01f645fe8387f92,52d3df0ed60c46f336c131bf2ca454f73bafdc4b04dfa2aea80746f5ba9e6d1c,99017f6eebbac24f351415dd410d522d,70.0,55.0,2020-10-22 19:31:49
Hash,99017f6eebbac24f351415dd410d522d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cyren,True,,6.3.0.2,W32/Risk.PCSE-1644,4d1740485713a2ab3a4f5822a01f645fe8387f92,52d3df0ed60c46f336c131bf2ca454f73bafdc4b04dfa2aea80746f5ba9e6d1c,99017f6eebbac24f351415dd410d522d,70.0,55.0,2020-10-22 19:31:49
Hash,99017f6eebbac24f351415dd410d522d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DrWeb,True,,7.0.49.9080,Trojan.Hosts.37,4d1740485713a2ab3a4f5822a01f645fe8387f92,52d3df0ed60c46f336c131bf2ca454f73bafdc4b04dfa2aea80746f5ba9e6d1c,99017f6eebbac24f351415dd410d522d,70.0,55.0,2020-10-22 19:31:49
Hash,99017f6eebbac24f351415dd410d522d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emsisoft,True,,2018.12.0.1641,Generic.Malware.Vow.7232B058 (B),4d1740485713a2ab3a4f5822a01f645fe8387f92,52d3df0ed60c46f336c131bf2ca454f73bafdc4b04dfa2aea80746f5ba9e6d1c,99017f6eebbac24f351415dd410d522d,70.0,55.0,2020-10-22 19:31:49
Hash,99017f6eebbac24f351415dd410d522d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MicroWorld-eScan,True,,14.0.409.0,Generic.Malware.Vow.7232B058,4d1740485713a2ab3a4f5822a01f645fe8387f92,52d3df0ed60c46f336c131bf2ca454f73bafdc4b04dfa2aea80746f5ba9e6d1c,99017f6eebbac24f351415dd410d522d,70.0,55.0,2020-10-22 19:31:49
Hash,99017f6eebbac24f351415dd410d522d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AegisLab,True,,4.2,Trojan.Win32.Generic.tn1B,4d1740485713a2ab3a4f5822a01f645fe8387f92,52d3df0ed60c46f336c131bf2ca454f73bafdc4b04dfa2aea80746f5ba9e6d1c,99017f6eebbac24f351415dd410d522d,70.0,55.0,2020-10-22 19:31:49
Hash,99017f6eebbac24f351415dd410d522d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invincea,True,,1.0.1.0,Mal/Generic-R + Troj/VBHost-A,4d1740485713a2ab3a4f5822a01f645fe8387f92,52d3df0ed60c46f336c131bf2ca454f73bafdc4b04dfa2aea80746f5ba9e6d1c,99017f6eebbac24f351415dd410d522d,70.0,55.0,2020-10-22 19:31:49
Hash,99017f6eebbac24f351415dd410d522d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yandex,True,,5.5.2.24,Trojan.GenAsa!5UpwDQE4XuU,4d1740485713a2ab3a4f5822a01f645fe8387f92,52d3df0ed60c46f336c131bf2ca454f73bafdc4b04dfa2aea80746f5ba9e6d1c,99017f6eebbac24f351415dd410d522d,70.0,55.0,2020-10-22 19:31:49
Hash,99017f6eebbac24f351415dd410d522d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZoneAlarm,True,,1.0,Trojan.Win32.Hosts2.ydg,4d1740485713a2ab3a4f5822a01f645fe8387f92,52d3df0ed60c46f336c131bf2ca454f73bafdc4b04dfa2aea80746f5ba9e6d1c,99017f6eebbac24f351415dd410d522d,70.0,55.0,2020-10-22 19:31:49
Hash,99017f6eebbac24f351415dd410d522d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FireEye,True,,32.36.1.0,Generic.mg.99017f6eebbac24f,4d1740485713a2ab3a4f5822a01f645fe8387f92,52d3df0ed60c46f336c131bf2ca454f73bafdc4b04dfa2aea80746f5ba9e6d1c,99017f6eebbac24f351415dd410d522d,70.0,55.0,2020-10-22 19:31:49
Hash,99017f6eebbac24f351415dd410d522d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AVG,True,,18.4.3895.0,Win32:VB-ZOF [Spy],4d1740485713a2ab3a4f5822a01f645fe8387f92,52d3df0ed60c46f336c131bf2ca454f73bafdc4b04dfa2aea80746f5ba9e6d1c,99017f6eebbac24f351415dd410d522d,70.0,55.0,2020-10-22 19:31:49
Hash,99017f6eebbac24f351415dd410d522d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paloalto,True,,1.0,generic.ml,4d1740485713a2ab3a4f5822a01f645fe8387f92,52d3df0ed60c46f336c131bf2ca454f73bafdc4b04dfa2aea80746f5ba9e6d1c,99017f6eebbac24f351415dd410d522d,70.0,55.0,2020-10-22 19:31:49
Hash,99017f6eebbac24f351415dd410d522d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jiangmin,True,,16.0.100,Trojan/VB.ckhw,4d1740485713a2ab3a4f5822a01f645fe8387f92,52d3df0ed60c46f336c131bf2ca454f73bafdc4b04dfa2aea80746f5ba9e6d1c,99017f6eebbac24f351415dd410d522d,70.0,55.0,2020-10-22 19:31:49
Hash,99017f6eebbac24f351415dd410d522d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qihoo-360,True,,1.0.0.1120,Win32/Trojan.Spy.fd9,4d1740485713a2ab3a4f5822a01f645fe8387f92,52d3df0ed60c46f336c131bf2ca454f73bafdc4b04dfa2aea80746f5ba9e6d1c,99017f6eebbac24f351415dd410d522d,70.0,55.0,2020-10-22 19:31:49
Hash,99017f6eebbac24f351415dd410d522d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,McAfee,True,,6.0.6.653,RDN/Generic Qhost.e,4d1740485713a2ab3a4f5822a01f645fe8387f92,52d3df0ed60c46f336c131bf2ca454f73bafdc4b04dfa2aea80746f5ba9e6d1c,99017f6eebbac24f351415dd410d522d,70.0,55.0,2020-10-22 19:31:49
Hash,99017f6eebbac24f351415dd410d522d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eGambit,True,,,Unsafe.AI_Score_99%,4d1740485713a2ab3a4f5822a01f645fe8387f92,52d3df0ed60c46f336c131bf2ca454f73bafdc4b04dfa2aea80746f5ba9e6d1c,99017f6eebbac24f351415dd410d522d,70.0,55.0,2020-10-22 19:31:49
Hash,99017f6eebbac24f351415dd410d522d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaspersky,True,,15.0.1.13,Trojan.Win32.Hosts2.ydg,4d1740485713a2ab3a4f5822a01f645fe8387f92,52d3df0ed60c46f336c131bf2ca454f73bafdc4b04dfa2aea80746f5ba9e6d1c,99017f6eebbac24f351415dd410d522d,70.0,55.0,2020-10-22 19:31:49
Hash,99017f6eebbac24f351415dd410d522d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sophos,True,,4.98.0,Troj/VBHost-A,4d1740485713a2ab3a4f5822a01f645fe8387f92,52d3df0ed60c46f336c131bf2ca454f73bafdc4b04dfa2aea80746f5ba9e6d1c,99017f6eebbac24f351415dd410d522d,70.0,55.0,2020-10-22 19:31:49
